,audio_id,chunk_id,transcript
0,92005f1a713e47cb83667a4300eedc84,1," Sir, how is the signature? Is it a hidden copy? What issues are you facing? I have not purchased the DSC yet. Sir, the voice is not coming out. First, you have to give the client code and mobile number of the register. I will check your status."
1,181019ba1580492687bfab6a9d8d6451,3," I have sent it in the morning. Yes, this amount will be provided between 2-3 pm. It will be provided by 2 am. Yes, sir. Thank you. Thank you for calling Heaven SK. Thank you."
2,181019ba1580492687bfab6a9d8d6451,2," Hello ma'am, I am Koshal speaking. Yes, please speak. I had withdrawn from the payment. I haven't received the credit yet. It will be done by 2-3 pm. When did you request?"
3,181019ba1580492687bfab6a9d8d6451,1," Good morning, Chester. I am Aishwarya. How are you? Hello, ma'am. I am Kostal. Yes, tell me. I had withdrawn from the payment. So, the payment has not been done yet. It will be done by 2-3 pm. Sir, when did you request?"
4,2226fca493a54603a9ec15decd26f1b1,3, Okay. Thank you so much for your time.
5,2226fca493a54603a9ec15decd26f1b1,2," Sir, are you talking to a client or a franchisee? I am talking to a brand. Sir, you have to call the brand support for the transfer. You have to note the number of the brand support once and you will get the confirmation. Okay, Pradhu. 8124 Yes, 8124 is the name, right? Yes, sir. Okay, I will call and request you. Yes. Okay, thank you so much for your time."
6,2226fca493a54603a9ec15decd26f1b1,1," If you don't want to tell me, then why are you calling me? Ma'am, a client has pinged me. I don't understand what you are saying. A client has pinged me, but it hasn't been updated yet."
7,6f70a25082474f4aad5b761d8636b8d9,2," Ok sir, I am checking here. Your request is showing in process. And this is your payout. Wait till this evening. You will receive it by this evening. Ok sir. Any other information?"
8,6f70a25082474f4aad5b761d8636b8d9,1," Sir, I am talking to Goodopno choice broking. How can I help you? Sir, I had done a bid log. If the amount is there, then it is not credited in the account. Okay, I will check it sir. Please stay on line. Sir, I can know that sir, at what time did you raise this request for the bid log? 97.20 amount. That was done in 10 am. 10.45 am."
9,04af91d22e584237855b2341f4008341,3," Yes sir. Is the amount of money not used? No, it will not be used for trading purposes. Ok, ok. Yes sir. Any other information? No, nothing. Thank you for calling Choice Fund, Samdais Ji."
